PFco_Code,segment,cluster_id,total_qty,total_value,total_total_values,transaction_count,avg_qty_per_trx,avg_value_per_trx,unique_months,avg_stok_akhir,avg_safety_stock,turnover_ratio,stockout_freq,overstock_freq,understock_freq
568,slow moving,2,75526.96,19113079.0,18363176737.19,94,803.48,203330.63,34,2952.21,538.25,0.59,0.0,39.53,0.0
569,slow moving,2,12851.58,3074220.0,1951314030.0,28,458.98,109793.57,15,1092.93,259.74,0.29,0.0,35.0,0.0
572,slow moving,2,2656.13,729000.0,193023684.0,11,241.47,66272.73,10,290.49,72.65,0.37,0.0,8.0,0.0
573,slow moving,2,1869.55,291600.0,178304814.0,4,467.39,72900.0,1,1901.98,383.65,0.98,0.0,0.0,0.0
574,slow moving,2,10183.81,3172560.0,445360941.6,88,115.73,36051.82,38,642.08,92.31,0.39,0.0,78.05,0.0
575,slow moving,2,349.91,102720.0,10033543.2,5,69.98,20544.0,4,44.21,17.95,0.49,0.0,0.0,25.0
578,slow moving,2,78012.62,21963270.0,8901751377.6,399,195.52,55045.79,43,2878.66,495.36,0.63,4.65,60.47,9.3
579,slow moving,2,294.4,72900.0,21461760.0,1,294.4,72900.0,1,335.32,90.02,0.88,0.0,0.0,0.0
580,slow moving,2,4947.22,1164160.0,475383737.8,32,154.6,36380.0,20,260.78,60.19,0.54,11.43,17.14,5.71
582,slow moving,2,231.59,70494.0,16325705.46,1,231.59,70494.0,1,321.12,80.9,0.72,0.0,0.0,0.0
584,slow moving,2,1827.63,557100.0,86867091.0,15,121.84,37140.0,11,119.46,53.84,0.57,3.7,25.93,51.85
585,slow moving,2,1312.79,434550.0,29832967.5,28,46.89,15519.64,13,94.83,22.51,0.53,0.0,3.85,0.0
587,slow moving,2,36.17,7560.0,273445.2,1,36.17,7560.0,1,38.9,7.41,0.93,0.0,0.0,0.0
588,slow moving,2,7573.23,1599450.0,820053586.5,24,315.55,66643.75,11,204.81,219.19,1.23,0.0,0.0,83.33
589,medium moving,0,787.1,164160.0,29112288.0,6,131.18,27360.0,4,31.25,51.32,3.6,28.57,0.0,57.14
590,slow moving,2,5202.69,1085250.0,428350462.2,20,260.13,54262.5,9,290.63,156.23,0.6,3.33,0.0,20.0
591,medium moving,0,2059.59,438000.0,126678038.4,11,187.24,39818.18,5,47.29,91.08,1.45,23.33,0.0,70.0
592,slow moving,2,342.6,71400.0,7206360.0,4,85.65,17850.0,3,116.17,36.93,0.42,0.0,0.0,0.0
593,slow moving,2,2368.72,488280.0,150142203.6,12,197.39,40690.0,8,220.86,88.03,0.34,0.0,3.12,3.12
594,slow moving,2,12456.11,2799765.0,1397847053.1,54,230.67,51847.5,18,1531.67,241.31,0.25,0.0,75.0,0.0
596,slow moving,2,2962.44,901144.64,74592090.47,49,60.46,18390.71,30,82.61,24.76,0.83,2.33,6.98,2.33
597,slow moving,2,167.52,54750.0,5378880.0,3,55.84,18250.0,3,18.84,14.42,0.52,0.0,0.0,35.29
599,medium moving,0,2166.66,711645.0,60927262.5,30,72.22,23721.5,13,40.53,39.61,1.24,41.86,0.0,16.28
600,slow moving,2,39376.02,11783940.0,3453864074.1,283,139.14,41639.36,43,1495.05,263.23,0.61,0.0,39.53,0.0
602,medium moving,0,8271.53,2445420.0,391929606.45,77,107.42,31758.7,31,83.04,79.03,2.49,20.0,5.0,47.5
606,slow moving,2,47.9,14400.0,689760.0,1,47.9,14400.0,1,86.48,9.68,0.55,0.0,100.0,0.0
608,slow moving,2,32732.92,9946865.0,2582668454.1,274,119.46,36302.43,43,558.94,178.67,1.36,6.98,13.95,16.28
611,slow moving,2,3394.62,1033200.0,741435102.0,9,377.18,114800.0,5,488.07,217.01,0.27,0.0,0.0,7.69
612,slow moving,2,25226.81,8085880.0,4532108247.0,90,280.3,89843.11,42,1692.39,123.0,0.35,0.0,90.7,0.0
613,slow moving,2,115.18,37020.0,2333631.0,2,57.59,18510.0,1,113.37,36.01,1.02,0.0,0.0,0.0
614,slow moving,2,121.12,36960.0,2161090.8,3,40.37,12320.0,3,53.31,12.11,0.57,0.0,25.0,0.0
616,slow moving,2,1362.92,384570.0,226947586.5,5,272.58,76914.0,5,135.54,81.71,0.37,3.7,0.0,7.41
