PFco_Code,tahun,bulan,stok_awal,stok_masuk,penjualan,stok_akhir,safety_stock,status_stok
148,2021,6,68.21,0.0,0.0,58.62,11.48,normal
148,2021,7,58.62,0.0,0.0,55.28,11.48,normal
148,2021,8,55.28,2.36,0.0,54.35,11.48,normal
148,2021,9,54.35,20.75,46.97,28.13,11.48,normal
148,2021,10,28.13,0.0,0.0,24.35,11.48,normal
148,2021,11,24.35,7.71,0.0,30.16,11.48,normal
148,2021,12,30.16,6.92,0.0,33.68,11.48,normal
148,2022,1,33.68,0.0,0.0,29.52,11.48,normal
148,2022,2,29.52,0.0,0.0,27.21,11.48,normal
148,2022,3,27.21,0.0,0.0,23.81,11.48,normal
148,2022,4,23.81,0.0,0.0,20.26,11.48,normal
148,2022,5,20.26,0.0,0.0,18.49,11.48,normal
148,2022,6,18.49,0.0,0.0,16.94,11.48,normal
148,2022,7,16.94,0.0,0.0,14.64,11.48,normal
148,2022,8,14.64,0.0,0.0,12.81,11.48,normal
148,2022,9,12.81,0.0,0.0,12.04,11.48,normal
148,2022,10,12.04,0.0,0.0,10.83,11.48,understock
148,2022,11,10.83,0.0,0.0,9.94,11.48,understock
148,2022,12,9.94,0.0,0.0,9.06,11.48,understock
148,2023,1,9.06,8.32,0.0,16.84,11.48,normal
148,2023,2,16.84,0.0,0.0,14.4,11.48,normal
148,2023,3,14.4,10.63,7.67,17.36,11.48,normal
148,2023,4,17.36,40.84,38.72,19.48,11.48,normal
148,2023,5,19.48,0.0,0.0,17.04,11.48,normal
148,2023,6,17.04,0.0,0.0,14.84,11.48,normal
148,2023,7,14.84,5.56,0.0,19.57,11.48,normal
148,2023,8,19.57,15.39,15.65,19.31,11.48,normal
148,2023,9,19.31,3.2,0.0,20.07,11.48,normal
148,2023,10,20.07,1.92,1.92,20.07,11.48,normal
148,2023,11,20.07,6.95,0.0,25.87,11.48,normal
148,2023,12,25.87,0.0,0.0,22.75,11.48,normal
148,2024,1,22.75,73.16,77.74,18.17,11.48,normal
155,2021,1,2399.23,266.98,552.11,2114.1,634.76,normal
155,2021,2,2114.1,116.77,210.34,2020.53,634.76,normal
155,2021,3,2020.53,1642.75,1156.84,2506.44,634.76,normal
155,2021,4,2506.44,1200.58,1371.85,2335.17,634.76,normal
155,2021,5,2335.17,2090.61,2252.35,2173.43,634.76,normal
155,2021,6,2173.43,3379.62,5070.5,482.55,634.76,understock
155,2021,7,482.55,6263.38,6442.5,303.43,634.76,understock
155,2021,8,303.43,7109.34,5113.91,2298.86,634.76,normal
155,2021,9,2298.86,4732.59,3518.45,3513.0,634.76,overstock
155,2021,10,3513.0,0.0,0.0,2996.83,634.76,overstock
155,2021,11,2996.83,0.0,0.0,2658.37,634.76,normal
155,2021,12,2658.37,0.0,0.0,2404.62,634.76,normal
155,2022,1,2404.62,72.59,130.3,2346.91,634.76,normal
155,2022,2,2346.91,0.0,0.0,2164.47,634.76,normal
155,2022,3,2164.47,3197.54,3093.92,2268.09,634.76,normal
155,2022,4,2268.09,382.18,467.2,2183.07,634.76,normal
155,2022,5,2183.07,4511.35,2853.54,3840.88,634.76,overstock
155,2022,6,3840.88,5406.33,4757.36,4489.85,634.76,overstock
155,2022,7,4489.85,4070.62,3519.66,5040.81,634.76,overstock
155,2022,8,5040.81,0.0,0.0,4765.98,634.76,overstock
155,2022,9,4765.98,197.56,0.0,4338.93,634.76,overstock
155,2022,10,4338.93,0.0,0.0,4056.72,634.76,overstock
155,2022,11,4056.72,0.0,0.0,3699.37,634.76,overstock
155,2022,12,3699.37,0.0,0.0,3202.87,634.76,overstock
155,2023,1,3202.87,0.0,0.0,2892.61,634.76,overstock
155,2023,2,2892.61,0.0,0.0,2668.89,634.76,normal
155,2023,3,2668.89,598.59,536.02,2731.46,634.76,normal
155,2023,4,2731.46,183.99,248.22,2667.23,634.76,normal
155,2023,5,2667.23,0.0,0.0,2467.9,634.76,normal
155,2023,6,2467.9,0.0,0.0,2312.63,634.76,normal
155,2023,7,2312.63,0.0,0.0,2056.81,634.76,normal
155,2023,8,2056.81,1382.27,1374.32,2064.76,634.76,normal
155,2023,9,2064.76,232.97,151.56,2146.17,634.76,normal
155,2023,10,2146.17,1199.71,1037.49,2308.39,634.76,normal
155,2023,11,2308.39,0.0,0.0,2063.48,634.76,normal
155,2023,12,2063.48,0.0,0.0,1877.05,634.76,normal
155,2024,1,1877.05,78.86,82.78,1873.13,634.76,normal
155,2024,2,1873.13,600.23,1059.69,1413.67,634.76,normal
155,2024,3,1413.67,2028.05,2202.06,1239.66,634.76,normal
155,2024,4,1239.66,400.93,445.64,1194.95,634.76,normal
155,2024,5,1194.95,30.05,99.75,1125.25,634.76,normal
155,2024,6,1125.25,634.17,495.94,1263.48,634.76,normal
158,2021,1,7748.54,13419.22,12080.53,9087.23,2001.96,normal
158,2021,2,9087.23,15240.87,15728.22,8599.88,2001.96,normal
158,2021,3,8599.88,17544.36,17868.6,8275.64,2001.96,normal
158,2021,4,8275.64,3695.11,7495.61,4475.14,2001.96,normal
158,2021,5,4475.14,10672.38,10993.09,4154.43,2001.96,normal
158,2021,6,4154.43,21284.3,14409.42,11029.31,2001.96,overstock
158,2021,7,11029.31,7037.58,7630.78,10436.11,2001.96,overstock
158,2021,8,10436.11,6785.74,7018.28,10203.57,2001.96,overstock
158,2021,9,10203.57,19101.44,19464.08,9840.93,2001.96,overstock
158,2021,10,9840.93,9884.19,9334.14,10390.98,2001.96,overstock
158,2021,11,10390.98,13216.97,7898.8,15709.15,2001.96,overstock
158,2021,12,15709.15,14075.98,14407.46,15377.67,2001.96,overstock
158,2022,1,15377.67,9221.83,9538.32,15061.18,2001.96,overstock
158,2022,2,15061.18,11008.15,11050.94,15018.39,2001.96,overstock
158,2022,3,15018.39,12796.66,11544.56,16270.49,2001.96,overstock
158,2022,4,16270.49,7845.7,8037.05,16079.14,2001.96,overstock
158,2022,5,16079.14,9298.81,8946.56,16431.39,2001.96,overstock
158,2022,6,16431.39,3799.53,4044.53,16186.39,2001.96,overstock
158,2022,7,16186.39,2015.01,1989.21,16212.19,2001.96,overstock
158,2022,8,16212.19,3436.87,3625.39,16023.67,2001.96,overstock
158,2022,9,16023.67,1885.25,1854.99,16053.93,2001.96,overstock
158,2022,10,16053.93,1131.6,1776.81,15408.72,2001.96,overstock
158,2022,11,15408.72,771.87,485.36,15695.23,2001.96,overstock
158,2022,12,15695.23,1362.75,2348.14,14709.84,2001.96,overstock
158,2023,1,14709.84,2141.63,2196.61,14654.86,2001.96,overstock
158,2023,2,14654.86,1501.22,2928.19,13227.89,2001.96,overstock
158,2023,3,13227.89,3438.38,3555.39,13110.88,2001.96,overstock
158,2023,4,13110.88,4311.54,4700.81,12721.61,2001.96,overstock
158,2023,5,12721.61,5001.13,4588.79,13133.95,2001.96,overstock
158,2023,6,13133.95,4258.99,4082.59,13310.35,2001.96,overstock
158,2023,7,13310.35,1976.93,1987.16,13300.12,2001.96,overstock
158,2023,8,13300.12,1877.95,1204.67,13973.4,2001.96,overstock
158,2023,9,13973.4,1193.92,989.7,14177.62,2001.96,overstock
158,2023,10,14177.62,1130.81,942.55,14365.88,2001.96,overstock
158,2023,11,14365.88,661.32,1207.92,13819.28,2001.96,overstock
158,2023,12,13819.28,1268.84,1555.74,13532.38,2001.96,overstock
158,2024,1,13532.38,1808.32,1709.53,13631.17,2001.96,overstock
158,2024,2,13631.17,2532.78,2434.52,13729.43,2001.96,overstock
158,2024,3,13729.43,6427.09,7281.75,12874.77,2001.96,overstock
158,2024,4,12874.77,768.84,626.97,13016.64,2001.96,overstock
158,2024,5,13016.64,4472.48,4276.7,13212.42,2001.96,overstock
158,2024,6,13212.42,532.49,1615.85,12129.06,2001.96,overstock
158,2024,7,12129.06,4289.07,3915.98,12502.15,2001.96,overstock
160,2021,1,1222.74,281.13,257.36,1246.51,309.47,normal
160,2021,2,1246.51,0.0,0.0,1079.25,309.47,normal
160,2021,3,1079.25,41.18,41.53,1078.9,309.47,normal
160,2021,4,1078.9,90.01,83.67,1085.24,309.47,normal
160,2021,5,1085.24,171.49,314.77,941.96,309.47,normal
160,2021,6,941.96,0.0,0.0,812.23,309.47,normal
160,2021,7,812.23,0.0,0.0,705.29,309.47,normal
160,2021,8,705.29,195.51,250.46,650.34,309.47,normal
160,2021,9,650.34,107.74,204.51,553.57,309.47,normal
160,2021,10,553.57,0.0,0.0,476.09,309.47,normal
160,2021,11,476.09,0.0,0.0,426.41,309.47,normal
160,2021,12,426.41,0.0,0.0,378.47,309.47,normal
160,2022,1,378.47,182.07,0.0,517.86,309.47,normal
160,2022,2,517.86,0.0,0.0,484.75,309.47,normal
160,2022,3,484.75,0.0,0.0,430.45,309.47,normal
160,2022,4,430.45,175.05,168.22,437.28,309.47,normal
160,2022,5,437.28,92.95,84.6,445.63,309.47,normal
160,2022,6,445.63,66.46,56.55,455.54,309.47,normal
160,2022,7,455.54,0.0,0.0,417.18,309.47,normal
160,2022,8,417.18,909.76,668.22,658.72,309.47,normal
160,2022,9,658.72,514.09,353.28,819.53,309.47,normal
160,2022,10,819.53,490.41,525.56,784.38,309.47,normal
160,2022,11,784.38,0.0,0.0,688.68,309.47,normal
160,2022,12,688.68,97.48,224.24,561.92,309.47,normal
160,2023,1,561.92,111.05,108.96,564.01,309.47,normal
160,2023,2,564.01,1082.02,722.27,923.76,309.47,normal
160,2023,3,923.76,1797.47,1369.21,1352.02,309.47,normal
160,2023,4,1352.02,240.48,426.78,1165.72,309.47,normal
160,2023,5,1165.72,1508.48,900.94,1773.26,309.47,overstock
160,2023,6,1773.26,968.43,1494.55,1247.14,309.47,normal
160,2023,7,1247.14,1317.4,1249.67,1314.87,309.47,normal
160,2023,8,1314.87,477.31,860.71,931.47,309.47,normal
160,2023,9,931.47,2342.03,1580.16,1693.34,309.47,overstock
160,2023,10,1693.34,1523.35,1265.68,1951.01,309.47,overstock
160,2023,11,1951.01,813.86,874.33,1890.54,309.47,overstock
160,2023,12,1890.54,3142.48,2832.8,2200.22,309.47,overstock
160,2024,1,2200.22,3615.01,2559.12,3256.11,309.47,overstock
160,2024,2,3256.11,3182.39,2974.4,3464.1,309.47,overstock
160,2024,3,3464.1,2011.85,2159.2,3316.75,309.47,overstock
160,2024,4,3316.75,0.0,0.0,2985.62,309.47,overstock
160,2024,5,2985.62,1682.59,1463.34,3204.87,309.47,overstock
160,2024,6,3204.87,366.01,1035.1,2535.78,309.47,overstock
160,2024,7,2535.78,1107.52,2445.05,1198.25,309.47,normal
161,2021,1,267.32,21.27,53.21,235.38,88.9,normal
161,2021,2,235.38,14.98,33.49,216.87,88.9,normal
161,2021,3,216.87,176.75,193.12,200.5,88.9,normal
161,2021,4,200.5,43.38,31.49,212.39,88.9,normal
161,2021,5,212.39,0.0,18.81,193.58,88.9,normal
161,2021,6,193.58,0.0,0.0,180.9,88.9,normal
161,2021,7,180.9,0.0,0.0,156.27,88.9,normal
161,2021,8,156.27,0.0,0.0,142.62,88.9,normal
161,2021,9,142.62,77.36,75.51,144.47,88.9,normal
161,2021,10,144.47,0.0,0.0,126.9,88.9,normal
161,2021,11,126.9,0.0,0.0,120.21,88.9,normal
161,2021,12,120.21,0.0,0.0,111.42,88.9,normal
161,2022,1,111.42,0.0,0.0,105.63,88.9,normal
161,2022,2,105.63,275.36,250.81,130.18,88.9,normal
161,2022,3,130.18,0.0,0.0,115.17,88.9,normal
161,2022,4,115.17,0.0,0.0,108.27,88.9,normal
161,2022,5,108.27,0.0,0.0,95.04,88.9,normal
161,2022,6,95.04,0.0,0.0,82.4,88.9,understock
161,2022,7,82.4,0.0,0.0,72.77,88.9,understock
161,2022,8,72.77,471.0,497.02,46.75,88.9,understock
161,2022,9,46.75,1196.71,727.27,516.19,88.9,overstock
161,2022,10,516.19,0.0,0.0,476.99,88.9,overstock
161,2022,11,476.99,0.0,0.0,424.98,88.9,overstock
161,2022,12,424.98,0.0,0.0,377.21,88.9,normal
161,2023,1,377.21,0.0,0.0,337.53,88.9,normal
161,2023,2,337.53,0.0,0.0,310.71,88.9,normal
161,2023,3,310.71,0.0,0.0,271.45,88.9,normal
161,2023,4,271.45,45.85,0.0,290.5,88.9,normal
161,2023,5,290.5,0.0,0.0,252.74,88.9,normal
161,2023,6,252.74,0.0,0.0,239.54,88.9,normal
161,2023,7,239.54,0.0,0.0,214.59,88.9,normal
161,2023,8,214.59,502.75,1022.82,0.0,88.9,stockout
161,2023,9,0.0,0.0,0.0,0.0,88.9,stockout
161,2023,10,0.0,588.58,609.43,0.0,88.9,stockout
161,2023,11,0.0,47.6,0.0,47.6,88.9,understock
161,2023,12,47.6,0.0,0.0,43.92,88.9,understock
161,2024,1,43.92,50.67,86.38,8.21,88.9,understock
161,2024,2,8.21,64.6,64.85,7.96,88.9,understock
161,2024,3,7.96,508.0,300.47,215.49,88.9,normal
161,2024,4,215.49,44.1,69.62,189.97,88.9,normal
161,2024,5,189.97,54.2,34.94,209.23,88.9,normal
164,2024,2,97.14,6.38,33.1,70.42,22.77,normal
164,2024,3,70.42,116.58,250.29,0.0,22.77,stockout
164,2024,4,0.0,47.69,46.6,1.09,22.77,understock
167,2021,3,172.1,69.83,65.09,176.84,38.86,normal
167,2021,4,176.84,111.27,121.64,166.47,38.86,normal
167,2021,5,166.47,0.0,0.0,148.24,38.86,normal
167,2021,6,148.24,19.77,0.0,151.75,38.86,normal
167,2021,7,151.75,0.0,0.0,132.46,38.86,normal
167,2021,8,132.46,43.42,47.44,128.44,38.86,normal
167,2021,9,128.44,32.88,44.26,117.06,38.86,normal
167,2021,10,117.06,0.0,0.0,101.62,38.86,normal
167,2021,11,101.62,0.0,0.0,89.48,38.86,normal
167,2021,12,89.48,0.0,0.0,79.72,38.86,normal
167,2022,1,79.72,0.0,0.0,75.0,38.86,normal
167,2022,2,75.0,0.0,0.0,70.22,38.86,normal
167,2022,3,70.22,0.0,0.0,63.58,38.86,normal
167,2022,4,63.58,0.0,0.0,56.96,38.86,normal
167,2022,5,56.96,0.0,0.0,49.94,38.86,normal
167,2022,6,49.94,0.0,0.0,44.15,38.86,normal
167,2022,7,44.15,42.4,61.28,25.27,38.86,understock
167,2022,8,25.27,0.0,0.0,21.51,38.86,understock
167,2022,9,21.51,73.21,61.66,33.06,38.86,understock
167,2022,10,33.06,135.4,185.28,0.0,38.86,stockout
167,2022,11,0.0,308.51,239.5,69.01,38.86,normal
167,2022,12,69.01,0.0,0.0,63.51,38.86,normal
167,2023,1,63.51,307.24,182.08,188.67,38.86,normal
167,2023,2,188.67,398.6,241.39,345.88,38.86,overstock
167,2023,3,345.88,188.05,169.42,364.51,38.86,overstock
167,2023,4,364.51,479.8,518.2,326.11,38.86,overstock
167,2023,5,326.11,40.27,31.92,334.46,38.86,overstock
167,2023,6,334.46,15.46,0.0,315.15,38.86,overstock
167,2023,7,315.15,0.0,0.0,289.35,38.86,overstock
167,2023,8,289.35,0.0,0.0,249.25,38.86,overstock
167,2023,9,249.25,0.0,0.0,230.98,38.86,normal
167,2023,10,230.98,28.68,0.0,247.62,38.86,overstock
167,2023,11,247.62,0.0,0.0,222.14,38.86,normal
167,2023,12,222.14,0.0,0.0,193.29,38.86,normal
167,2024,1,193.29,0.0,0.0,176.85,38.86,normal
167,2024,2,176.85,0.0,0.0,160.9,38.86,normal
167,2024,3,160.9,0.0,0.0,142.76,38.86,normal
167,2024,4,142.76,0.0,0.0,121.57,38.86,normal
167,2024,5,121.57,0.0,0.0,110.41,38.86,normal
167,2024,6,110.41,272.5,255.22,127.69,38.86,normal
168,2021,3,495.47,545.56,579.34,461.69,136.62,normal
172,2024,2,295.53,529.03,365.33,459.23,75.37,normal
174,2022,8,1164.89,283.76,222.93,1225.72,263.31,normal
174,2022,9,1225.72,400.75,273.92,1352.55,263.31,normal
174,2022,10,1352.55,0.0,0.0,1262.33,263.31,normal
174,2022,11,1262.33,222.36,156.0,1328.69,263.31,normal
174,2022,12,1328.69,528.8,886.55,970.94,263.31,normal
174,2023,1,970.94,1594.38,1708.97,856.35,263.31,normal
174,2023,2,856.35,546.49,1078.41,324.43,263.31,normal
174,2023,3,324.43,107.39,55.89,375.93,263.31,normal
174,2023,4,375.93,177.31,429.22,124.02,263.31,understock
174,2023,5,124.02,895.7,640.02,379.7,263.31,normal
174,2023,6,379.7,537.15,967.81,0.0,263.31,stockout
174,2023,7,0.0,1192.43,1082.06,110.37,263.31,understock
174,2023,8,110.37,3075.06,1835.0,1350.43,263.31,normal
174,2023,9,1350.43,1963.82,1196.96,2117.29,263.31,overstock
174,2023,10,2117.29,710.95,647.95,2180.29,263.31,overstock
174,2023,11,2180.29,1021.0,1059.16,2142.13,263.31,overstock
174,2023,12,2142.13,1034.08,1025.14,2151.07,263.31,overstock
174,2024,1,2151.07,635.64,1491.03,1295.68,263.31,normal
174,2024,2,1295.68,2304.32,2163.8,1436.2,263.31,normal
174,2024,3,1436.2,1937.88,1332.04,2042.04,263.31,overstock
174,2024,4,2042.04,1987.29,1724.34,2304.99,263.31,overstock
174,2024,5,2304.99,885.21,1364.16,1826.04,263.31,overstock
174,2024,6,1826.04,0.0,0.0,1610.54,263.31,overstock
174,2024,7,1610.54,773.5,1142.43,1241.61,263.31,normal
175,2021,1,2699.47,1899.47,1456.42,3142.52,487.02,normal
175,2021,2,3142.52,2863.25,2627.99,3377.78,487.02,overstock
175,2021,3,3377.78,4202.51,3803.22,3777.07,487.02,overstock
175,2021,4,3777.07,579.97,510.93,3846.11,487.02,overstock
175,2021,5,3846.11,3021.54,4183.82,2683.83,487.02,normal
175,2021,6,2683.83,1660.55,2736.57,1607.81,487.02,normal
175,2021,7,1607.81,1903.24,4313.6,0.0,487.02,stockout
175,2021,8,0.0,0.0,0.0,0.0,487.02,stockout
175,2021,9,0.0,0.0,0.0,0.0,487.02,stockout
175,2021,10,0.0,3240.22,2765.77,474.45,487.02,understock
175,2021,11,474.45,1980.23,4507.79,0.0,487.02,stockout
175,2021,12,0.0,2497.25,2452.57,44.68,487.02,understock
175,2022,1,44.68,646.86,647.58,43.96,487.02,understock
175,2022,2,43.96,1290.96,3099.14,0.0,487.02,stockout
175,2022,3,0.0,3168.36,3125.85,42.51,487.02,understock
175,2022,4,42.51,907.63,1639.95,0.0,487.02,stockout
175,2022,5,0.0,1753.47,1607.97,145.5,487.02,understock
175,2022,6,145.5,2720.13,2606.42,259.21,487.02,understock
175,2022,7,259.21,1141.66,2358.7,0.0,487.02,stockout
175,2022,8,0.0,1429.38,2958.22,0.0,487.02,stockout
175,2022,9,0.0,3046.85,2208.43,838.42,487.02,normal
175,2022,10,838.42,1430.07,1355.7,912.79,487.02,normal
175,2022,11,912.79,1152.74,1193.24,872.29,487.02,normal
175,2022,12,872.29,2794.51,1996.16,1670.64,487.02,normal
175,2023,1,1670.64,566.57,714.13,1523.08,487.02,normal
175,2023,2,1523.08,2295.87,1478.3,2340.65,487.02,normal
175,2023,3,2340.65,3573.28,2583.96,3329.97,487.02,overstock
175,2023,4,3329.97,686.08,943.34,3072.71,487.02,normal
175,2023,5,3072.71,647.2,1024.54,2695.37,487.02,normal
175,2023,6,2695.37,545.73,878.48,2362.62,487.02,normal
175,2023,7,2362.62,1850.94,2034.91,2178.65,487.02,normal
175,2023,8,2178.65,3380.89,3190.26,2369.28,487.02,normal
175,2023,9,2369.28,3060.23,2874.58,2554.93,487.02,normal
175,2023,10,2554.93,1288.15,1312.64,2530.44,487.02,normal
175,2023,11,2530.44,306.87,366.4,2470.91,487.02,normal
175,2023,12,2470.91,0.0,0.0,2275.3,487.02,normal
175,2024,1,2275.3,2139.22,3277.22,1137.3,487.02,normal
175,2024,2,1137.3,728.34,1912.38,0.0,487.02,stockout
175,2024,3,0.0,2441.1,2131.58,309.52,487.02,understock
175,2024,4,309.52,2152.58,2004.87,457.23,487.02,understock
175,2024,5,457.23,1123.39,2642.67,0.0,487.02,stockout
175,2024,6,0.0,1085.9,1070.54,15.36,487.02,understock
